Date,Active,severe,comorbid,ICU requirements,Ventilators required overall,Total,Hypertension
01/06/20,420,224,141,34,9,6,0
02/06/20,480,236,150,36,10,6,0
03/06/20,521,248,158,38,10,6,0
04/06/20,545,257,165,39,11,7,0
05/06/20,583,249,161,38,10,6,0
06/06/20,620,259,169,40,11,7,0
07/06/20,659,269,177,41,11,7,0
08/06/20,700,286,188,44,12,8,2
09/06/20,716,292,194,45,12,8,2
10/06/20,764,304,202,47,13,9,2
11/06/20,803,316,212,48,13,9,2
12/06/20,887,350,237,54,15,10,3
13/06/20,918,352,242,54,15,10,3
14/06/20,705,274,190,42,11,8,2
15/06/20,743,299,208,46,12,8,2
16/06/20,738,304,213,47,13,9,2
17/06/20,736,314,222,48,13,9,2
18/06/20,748,299,214,46,12,9,2
19/06/20,758,304,218,47,13,9,2
20/06/20,740,311,224,48,13,9,2
21/06/20,764,319,233,49,13,9,2
22/06/20,783,332,243,51,14,10,3
23/06/20,735,321,236,49,13,10,3
24/06/20,720,317,234,49,13,10,3
25/06/20,768,347,258,53,14,10,3
26/06/20,831,390,290,60,16,12,3
27/06/20,895,387,289,59,16,12,3
28/06/20,984,417,313,64,17,13,3
29/06/20,1064,441,333,68,18,14,4
30/06/20,1157,472,358,72,20,15,4
01/07/20,1232,501,382,77,21,16,4
02/07/20,1318,517,396,79,22,17,4
03/07/20,1358,540,416,83,22,17,4
04/07/20,1369,546,424,84,23,18,4
05/07/20,1468,569,444,87,24,19,5
06/07/20,1513,577,454,89,24,19,5
07/07/20,1581,603,478,92,25,20,5
08/07/20,1708,663,528,102,28,22,6
09/07/20,1845,696,557,107,29,23,6
10/07/20,2047,727,584,111,30,24,6
11/07/20,2228,734,592,112,31,25,6
12/07/20,2465,749,604,115,31,25,6
13/07/20,2690,753,610,115,31,25,6
14/07/20,2780,762,618,117,32,26,7
15/07/20,2980,842,685,129,35,28,7
16/07/20,3224,886,724,136,37,30,8
17/07/20,3481,919,757,141,38,31,8
18/07/20,3820,997,822,153,41,34,9
19/07/20,3890,957,795,147,40,33,8
20/07/20,4123,1028,858,157,43,36,9
21/07/20,4160,1008,846,154,42,35,9
22/07/20,4471,1066,895,163,44,37,9
23/07/20,4592,1106,934,169,46,39,10
24/07/20,4740,1131,959,173,47,40,10
25/07/20,4695,1125,960,172,47,40,10
26/07/20,4702,1108,949,170,46,39,10
27/07/20,4678,1135,975,174,47,40,10
28/07/20,4709,1147,987,176,48,41,10
29/07/20,4724,1146,984,175,48,41,10
30/07/20,4749,1095,945,168,46,40,10
31/07/20,4967,1133,980,173,47,41,10
01/08/20,4994,1096,950,168,46,40,10
02/08/20,5049,1080,939,165,45,39,10
03/08/20,5052,1047,912,160,44,38,10
04/08/20,5194,1085,948,166,45,39,10
05/08/20,5437,1092,956,167,45,39,10
06/08/20,5522,1087,955,166,45,40,10
07/08/20,5611,1083,954,166,45,40,10
08/08/20,5661,1022,901,156,43,38,10
09/08/20,5774,997,882,153,41,36,9
10/08/20,5650,968,857,148,40,35,9